sample_ID,,,204Pb_206Pb,207Pb_206Pb,206Pb_percent,U_ppm,Th_U,206Pb_238U_date,206Pb_238U_date_err,207Pb_206Pb_date,207Pb_206Pb_date_err,207Pb_235U,207Pb_235U_err,206Pb_238U,206Pb_238U_err,rho,rim_core
ST10,1,5.1,0.000616,0.0845,1.1,240,0.5,1090,27,1089,70,1.924,4.4,0.1842,2.7,0.611,core
ST10,1,6.1,0.000413,0.0823,0.76,220,0.39,1187,30,1105,58,2.13,4,0.2022,2.7,0.682,core
ST10,1,7.1,0.00023,0.0804,0.42,370,0.31,1149,23,1124,41,2.075,3,0.1951,2.2,0.727,core
ST10,1,8.1,0.000194,0.0841,0.36,320,0.37,1123,57,1229,42,2.133,5.9,0.1903,5.5,0.933,core
ST10,1,9.1,0.000281,0.0812,0.51,200,0.4,1283,85,1127,40,2.344,7.6,0.2202,7.3,0.964,core
ST10,1,10.1,0.000481,0.0865,0.88,170,0.5,1313,35,1190,67,2.484,4.5,0.2259,2.9,0.651,core
ST10,1,11.1,0.000458,0.0821,0.84,160,0.3,1134,49,1084,120,2.005,7.4,0.1924,4.7,0.637,core
ST10,1,12.1,0.000332,0.0853,0.61,240,0.42,1155,62,1212,38,2.181,6.2,0.1962,5.9,0.95,core
ST10,1,13.1,0.000223,0.0792,0.41,370,0.5,1118,26,1096,27,1.985,2.8,0.1893,2.5,0.881,core
ST10,1,14.1,0.000148,0.0853,0.27,190,0.34,1160,57,1274,31,2.261,5.6,0.1971,5.4,0.961,core
ST10,1,14.2*,0.000044,0.0779,0.08,1200,0.03,1106,21,1129,10,1.994,2.2,0.1871,2.1,0.971,rim
ST10,1,15.1,0.00045,0.0834,0.82,170,0.26,1051,44,1121,99,1.879,6.7,0.177,4.6,0.675,core
ST10,1,16.1,0.00013,0.0809,0.24,820,0.43,1173,25,1173,23,2.175,2.6,0.1996,2.4,0.897,core
ST10,1,17.1,0.0002,0.0833,0.37,270,0.39,1243,25,1209,40,2.36,3,0.2126,2.2,0.741,core
ST10,1,18.1,0.000351,0.0833,0.64,180,0.41,1187,31,1156,56,2.185,4,0.2023,2.9,0.712,core
ST10,1,19.1*,0.000215,0.0769,0.39,360,0.57,1043,41,1037,44,1.788,4.8,0.1757,4.2,0.891,rim
ST10,1,20.1,0.000404,0.0832,0.74,260,0.32,1315,123,1133,100,2.416,11.5,0.2262,10.3,0.898,core
