,index,Age_No,Lab_No,Sample_No,Age,Error_Plus,Error_Minus,Age_Method,Age_Interpretation,Age_Note,Age_Material,Age_Technique,Age_Qualifier,Geological_Province,Province,Latitude,Longitude,Location,Geological_Info,Rock_Type,Rock_Description,References,LastUpdated
18,5569,41255,-17054,AI92-12 (BZ2),1019,2,2,U/Pb,Metamorphic,"2 fractions (abr), slightly reversely discordant (essentially concordant) and overlapping. Age is based all ages (U-Pb, Pb-Pb) as they overlap range defined by age / error.",Monazite,TIMS,Direct,Grenville Province,QC,51.77849,-68.17322,E shore Manicougan reservoir.  The easting given in the paper is incorrect (plots ~1.5? too far west). New easting is approximate.,Tshenukutish terrane - Boundary Zone,Metamorphic,metapelite,"Indares, A. and Dunning, G., 2001. Partial melting of high-P-T metapelites from the Tshenukutish Terrane (Grenville Province): petrography and U-pb geochronology; Journal of Petrology, v. 42,  p. 1547-1565 ",11/17/05 21:16
22,5534,41259,-17052,MANIC320 (BNS3),1033,2,2,U/Pb,Metamorphic,"2 fractions (abr), concordant to near concordant, ellipses are well overlapping. Age is based all ages (U-Pb, Pb-Pb) as they overlap range defined by age / error.",Monazite,TIMS,Direct,Grenville Province,QC,51.65441,-68.49348,E shore Manicougan reservoir. The easting given in the paper is incorrect (plots ~1.5? too far west). New easting is approximate.,Tshenukutish terrane - Baie du Nord segment,Metamorphic,metapelite,"Indares, A. and Dunning, G., 2001. Partial melting of high-P-T metapelites from the Tshenukutish Terrane (Grenville Province): petrography and U-pb geochronology; Journal of Petrology, v. 42,  p. 1547-1565 ",11/17/05 21:07
23,5535,41260,-17051,AI92-107 (BNS2),1033,2,2,U/Pb,Metamorphic,"2 fractions (abr), concordant to near concordant, ellipses partly overlap. Age is based all ages (U-Pb, Pb-Pb) as they overlap range defined by age / error.",Monazite,TIMS,Direct,Grenville Province,QC,51.69015,-68.44245,E shore Manicougan reservoir.,Tshenukutish terrane - Baie du Nord segment,Metamorphic,metapelite,"Indares, A. and Dunning, G., 2001. Partial melting of high-P-T metapelites from the Tshenukutish Terrane (Grenville Province): petrography and U-pb geochronology; Journal of Petrology, v. 42,  p. 1547-1565 ",11/17/05 21:07
25,5537,41262,-17050,MAN 125 (BNS1),1040,2,2,U/Pb,Metamorphic,"2 fractions (abr), concordant to near concordant, ellipses just touch each other. Age is based all ages (U-Pb, Pb-Pb) as they overlap range defined by age / error.",Monazite,TIMS,Direct,Grenville Province,QC,51.66347,-68.50784,E shore Manicougan reservoir.  The easting given in the paper is incorrect (plots ~1.5? too far west). New easting is approximate.,Tshenukutish terrane - Baie du Nord segment,Metamorphic,metapelite,"Indares, A. and Dunning, G., 2001. Partial melting of high-P-T metapelites from the Tshenukutish Terrane (Grenville Province): petrography and U-pb geochronology; Journal of Petrology, v. 42,  p. 1547-1565 ",11/17/05 21:06
30,5527,41246,-17043,"HJ-57B, 57C, 58",1053,2,2,U/Pb,Metamorphic,"4 single-grain fractions from 3 samples, concordant to discordant, colinear. This age is weighted mean 207Pb/206Pb age of the 2 concordant overlapping grains (58C). Favoured over l.int. age (1055 ?5 Ma) due to higher precision.",Monazite,TIMS,Direct,Grenville Province,QC,51.30224,-68.18443,E shore of Manicouagan reservoir. Sample sites identified as circled region of approx. 3 km; individual sites not identified.,"Berthe terrane - Gabriel Complex, Gabrielle High Shear Zone",Metamorphic,3 samples of anatectic metapelite,"Indares, A. and Dunning, G., 2004. Crustal architecture above the high-pressure belt of the Grenville Province in the Manicouagan area: new structural, petrologic and U-Pb age constraints; Precambrian Research, v. 130,  p. 199-228 ",11/17/05 20:40
4,8988,18388,-11563,Location 2a,988,2,2,U/Pb,Metamorphic,"Single monazite grain analysis, slighlty reversely discordant (-0.8%), age is 207Pb/235U age.",Monazite,TIMS,Direct,Grenville Province,ON,46.43337,-80.81653,South of Sudbury. Coordinates approximated from regional-scale sketch map in report.,Grenville Front Tectonic Zone - NE trending mylonite zone,Plutonic,"white pegmatite, cataclastically deformed","Krogh, T.E., 1994. Precise U-Pb ages for Grenvillian and pre-Grenvillian thrusting of Proterozoic and Archean metamorphic assemblages in the Grenville Front tectonic zone, Canada; Tectonics, v. 13,  p. 963-982 ",9/15/05 1:20
52,8838,19109,-12027,Location 4,2643,5,5,U/Pb,Peak Metamorphic,"2 fractions, (1 abr), discordant (3% and 6%), age is upper intercept of line projected from Grenvillian lower intercept (set at 1000 Ga). Dates granulite-facies metamorphism.",Monazite,TIMS,Estimate,Grenville Province,QC,47.60008,-77.0997,"Val d'Or area, from a quarry approx. 30 km SE of the front. Coordinates approximated from regional-scale sketch map in report.",Grenville Front Tectonic Zone - unknown,Plutonic,orthopyroxene-bearing pegmatitic patch (meter-wide) in heterogeneous granulite gneiss,"Krogh, T.E., 1994. Precise U-Pb ages for Grenvillian and pre-Grenvillian thrusting of Proterozoic and Archean metamorphic assemblages in the Grenville Front tectonic zone, Canada; Tectonics, v. 13,  p. 963-982 ",9/15/05 1:55
9,8064,18298,-11507,BUR44,1000,2,2,U/Pb,Metamorphic,"2 fractions, concordant and reversely discordant, age is 207Pb/206Pb age of the concordant fraction. Other one is 996 Ma (-0.3% disc)",Monazite,TIMS,Direct,Grenville Province,ON,46.47832,-80.75887,No topographic reference given in report; located by UTM in appendix,Grenville Front Tectonic Zone - unknown,Metamorphic,pelitic schist,"Mezger, K., Essene, E.J., van der Pluijm, B.A. and Halliday, A.N., 1993. U-Pb geochronology of the Grenville Orogen of Ontario and New York: constraints on ancient crustal tectonics; Contributions to Mineralogy and Petrology, v. 114,  p. 13-26 ",9/9/05 22:33
26,8174,17632,-11110,REN82a-28,1041,2,2,U/Pb,Metamorphic,"Single concordant fraction, age is 207Pb/206Pb age.",Monazite,TIMS,Direct,Grenville Province,ON,45.58052,-77.16591,No topographic reference given in report; located by UTM in appendix,"Central Metasedimentary Belt, Elzevir Terrane - unknown",Metamorphic,pelitic schist,"Mezger, K., Essene, E.J., van der Pluijm, B.A. and Halliday, A.N., 1993. U-Pb geochronology of the Grenville Orogen of Ontario and New York: constraints on ancient crustal tectonics; Contributions to Mineralogy and Petrology, v. 114,  p. 13-26 ",9/9/05 21:58
39,7618,17508,-11031,ALG85-1,1100,1,1,U/Pb,Metamorphic,"Single concordant fraction, age is 207Pb/206Pb age.",Monazite,TIMS,Direct,Grenville Province,ON,45.50595,-78.25401,No topographic reference given in report; located by UTM in appendix,"Central Metasedimentary Belt, Algonquin Terrane - unknown",Metamorphic,pelitic schist,"Mezger, K., Essene, E.J., van der Pluijm, B.A. and Halliday, A.N., 1993. U-Pb geochronology of the Grenville Orogen of Ontario and New York: constraints on ancient crustal tectonics; Contributions to Mineralogy and Petrology, v. 114,  p. 13-26 ",9/9/05 20:16
