,index,Age_No,Lab_No,Sample_No,Age,Error_Plus,Error_Minus,Age_Method,Age_Interpretation,Age_Note,Age_Material,Age_Technique,Age_Qualifier,Geological_Province,Province,Latitude,Longitude,Location,Geological_Info,Rock_Type,Rock_Description,References,LastUpdated
20,8572,17728,2234,1381,1026.0,2.0,2.0,U/Pb,Metamorphic,"3 single-grain analyses, concordant and overlapping. Age is mean 207Pb/206Pb age of the 2 best fractions",Monazite,TIMS,Direct,Grenville Province,QC,45.59449,-75.6955,"600 m NW of Lac a la Perdrix and 300 m W of the Lac a la Perdrix-Lac Ronde road, Templeton Twp SW Quebec",Central Metasedimentary Belt - Lac a la Perdrix fenite,Metamorphic,fenite (magnesio-arfvedsonite-calcite-barite-albite-fluorapatite rock) (skarn),"Hogarth, D.D. and van Breemen, O., 1996. Geology and age of the Lac a la Perdrix fenite, southern Gatineau district, Quebec; Radiogenic Age and Isotopic Studies, Report 9, Geological Survey of Canada, Paper 1995-F,  p. 33-41 ",2005-05-17 22:39:50
21,17772,21698,-13608,96-PV-1230,1028.0,4.0,4.0,U/Pb,Metamorphic,207Pb/206Pb age of single monazite,Monazite,TIMS,Direct,Grenville Province,QC,51.263940000000005,-61.39252,"dans la partie nord du Complexe de Boulain, a quelques kilometres au nord du lac Poullet",Complexe de Boulain - Gneiss granitique,Plutonic,"Le Complexe de Boulain comprend un asemblage de gneiss de composition granitique a tonalitique par endroits et dans lesquels sont intercales du granite, du gabbro et de la pegmatitie deformes et metamorphoses","Wodicka, N., David, J., Parent, M., Gobeil, A. and Verpaelst, P., 2002. Geochronologie U-Pb et Pb-Pb de la region de Sept-Iles - Natashquan, Province de Grenville, Moyenne Cote-Nord; Geologie et ressources minerales de la partie est de la Province de Grenville; Edited by Daniel Brisebois et Thomas Clark,  p. 59-118 ",2004-12-16 10:37:41
22,5534,41259,-17052,MANIC320 (BNS3),1033.0,2.0,2.0,U/Pb,Metamorphic,"2 fractions (abr), concordant to near concordant, ellipses are well overlapping. Age is based all ages (U-Pb, Pb-Pb) as they overlap range defined by age / error.",Monazite,TIMS,Direct,Grenville Province,QC,51.65441,-68.49348,E shore Manicougan reservoir. The easting given in the paper is incorrect (plots ~1.5? too far west). New easting is approximate.,Tshenukutish terrane - Baie du Nord segment,Metamorphic,metapelite,"Indares, A. and Dunning, G., 2001. Partial melting of high-P-T metapelites from the Tshenukutish Terrane (Grenville Province): petrography and U-pb geochronology; Journal of Petrology, v. 42,  p. 1547-1565 ",2005-11-17 21:07:46
23,5535,41260,-17051,AI92-107 (BNS2),1033.0,2.0,2.0,U/Pb,Metamorphic,"2 fractions (abr), concordant to near concordant, ellipses partly overlap. Age is based all ages (U-Pb, Pb-Pb) as they overlap range defined by age / error.",Monazite,TIMS,Direct,Grenville Province,QC,51.69015,-68.44245,E shore Manicougan reservoir.,Tshenukutish terrane - Baie du Nord segment,Metamorphic,metapelite,"Indares, A. and Dunning, G., 2001. Partial melting of high-P-T metapelites from the Tshenukutish Terrane (Grenville Province): petrography and U-pb geochronology; Journal of Petrology, v. 42,  p. 1547-1565 ",2005-11-17 21:07:50
24,7538,18085,1260,87-DC-3,1035.0,1.0,1.0,U/Pb,Peak Metamorphic,2 near-concordant overlapping fractions (abr). Age is 207Pb/206Pb age of the younger fraction; other one is within error at 1037 ? 1 Ma. Cooling through 725?C,Monazite,TIMS,Direct,Grenville Province,ON,45.88482,-80.7434,"Small island just west of Key Harbour, Georgian Bay",Mesoproteozoic composite Arc allochthon - undivided gneiss,Metamorphic,migmatitic sillimanite kyanite K-feldspar garnet biotite paragneiss,"Corrigan, D., Culshaw, N.G. and Mortensen, K.J., 1994. Pre-Grenvillian evoultion and Grenvillian overprinting of the Parautochthonous Belt in Key Harbour, Ontario: U-Pb and field constraints; Canadian Journal of Earth Sciences, v. 31,  p. 583-596 ",2005-08-16 23:27:38
25,5537,41262,-17050,MAN 125 (BNS1),1040.0,2.0,2.0,U/Pb,Metamorphic,"2 fractions (abr), concordant to near concordant, ellipses just touch each other. Age is based all ages (U-Pb, Pb-Pb) as they overlap range defined by age / error.",Monazite,TIMS,Direct,Grenville Province,QC,51.663470000000004,-68.50784,E shore Manicougan reservoir.  The easting given in the paper is incorrect (plots ~1.5? too far west). New easting is approximate.,Tshenukutish terrane - Baie du Nord segment,Metamorphic,metapelite,"Indares, A. and Dunning, G., 2001. Partial melting of high-P-T metapelites from the Tshenukutish Terrane (Grenville Province): petrography and U-pb geochronology; Journal of Petrology, v. 42,  p. 1547-1565 ",2005-11-17 21:06:56
26,8174,17632,-11110,REN82a-28,1041.0,2.0,2.0,U/Pb,Metamorphic,"Single concordant fraction, age is 207Pb/206Pb age.",Monazite,TIMS,Direct,Grenville Province,ON,45.58052,-77.16591,No topographic reference given in report; located by UTM in appendix,"Central Metasedimentary Belt, Elzevir Terrane - unknown",Metamorphic,pelitic schist,"Mezger, K., Essene, E.J., van der Pluijm, B.A. and Halliday, A.N., 1993. U-Pb geochronology of the Grenville Orogen of Ontario and New York: constraints on ancient crustal tectonics; Contributions to Mineralogy and Petrology, v. 114,  p. 13-26 ",2005-09-09 21:58:50
27,5402,40758,-16886,7 Henrietta Isl,1046.0,2.0,2.0,U/Pb,Metamorphic,"4 fractions (lightly abr), concordant, fall into 2 distinct age groupings. This is 207Pb/206Pb age of one concordant fraction in the younger group. Unclear whether the spread in ages of this group is 2 punctuated events or prolonged contin. event.",Monazite,TIMS,Direct,Grenville Province,NL,54.062780000000004,-58.55389,"SW shore of Henrietta Island in Lake Melville, Labrador. Coordinates approximated from detailed sketch map in report.",Lake Melville Terrane - Henrietta Island metapelite,Metamorphic,metapelite: grt-bt-ky-sil-Kfs-pl-qtz-rt assemblage,"Corrigan, D., Rivers, T. and Dunning, G., 2000. U-Pb constraints for the plutonic and tectonometamorphic evolution of lake Melville terrane, Labrador and implications for basement reworking in the northeastern Grenville Province; Precambrian Research, v. 99,  p. 65-90 ",2005-08-07 17:03:52
28,17811,21660,6080,AG-98-1331A,1047.0,2.0,2.0,U/Pb,Metamorphic,Youngest of for concordant single monazite grains,Monazite,TIMS,Direct,Grenville Province,QC,50.6548,-65.29737,pres de Sept-Iles,Complexe de Manitou - Paragneiss a biotite-grenat-sillimanite-graphite,Metamorphic,paragneiss de Biotite-sillimanite-grenat-graphite ; gneissossite (syn-M2) defini par des couches de mobilisate et des lisses de biotite. L'echantillon contient egalement un tissu planaire axial (syn-M3 ?) defini par une deuxieme generation de biotite,"Wodicka, N., David, J., Parent, M., Gobeil, A. and Verpaelst, P., 2002. Geochronologie U-Pb et Pb-Pb de la region de Sept-Iles - Natashquan, Province de Grenville, Moyenne Cote-Nord; Geologie et ressources minerales de la partie est de la Province de Grenville; Edited by Daniel Brisebois et Thomas Clark,  p. 59-118 ",2004-12-14 11:40:04
29,5398,40754,-16888,9 metapelite,1047.0,4.0,4.0,U/Pb,Peak Metamorphic,"2 single-grain fractions (lightly abr), concordant and slightly reversely discordant, age is younger 207Pb/206Pb age of the concordant fraction. Other grain is 1046?4 Ma. Shows that high temps in upper part of thrust significantly outlasted those blw",Monazite,TIMS,Direct,Grenville Province,NL,54.21666999999999,-58.22083000000001,"S shore of Groswater Bay, E of Lester Pt shear zone, Labrador. Coordinates approximated from detailed sketch map in report.",Lake Melville Terrane - Rigolet Thrust,Metamorphic,"metapelite, from highest level of thrust: grt-bt-dy-Kfs(microperthite)-pl-qtz-ilm assemblage","Corrigan, D., Rivers, T. and Dunning, G., 2000. U-Pb constraints for the plutonic and tectonometamorphic evolution of lake Melville terrane, Labrador and implications for basement reworking in the northeastern Grenville Province; Precambrian Research, v. 99,  p. 65-90 ",2005-08-07 17:11:44
